state,subunitID,candidateID,candidateName,voteCount
AR,05023,AR13755,De La Fuente,7
AR,05023,AR13752,La Riva,2
AR,05025,AR12686,Trump,2857
AR,05025,AR13356,Biden,649
AR,05025,AR13753,Jorgensen,27
AR,05025,AR13757,Pierce,11
AR,05025,AR13769,Collins,8
AR,05025,AR13754,Hawkins,8
AR,05025,AR13759,Myers,8
AR,05025,AR13751,Blankenship,5
AR,05025,AR13755,De La Fuente,5
AR,05025,AR13758,West,5
AR,05025,AR13750,Carroll,2
AR,05025,AR13756,Gammon,2
AR,05025,AR13752,La Riva,1
AR,05027,AR12686,Trump,5469
AR,05027,AR13356,Biden,2781
AR,05027,AR13754,Hawkins,71
AR,05027,AR13753,Jorgensen,53
AR,05027,AR13751,Blankenship,47
AR,05027,AR13755,De La Fuente,27
AR,05027,AR13769,Collins,26
AR,05027,AR13750,Carroll,17
AR,05027,AR13758,West,17
AR,05027,AR13752,La Riva,12
AR,05027,AR13757,Pierce,11
AR,05027,AR13759,Myers,10
AR,05027,AR13756,Gammon,9
AR,05029,AR12686,Trump,5672
AR,05029,AR13356,Biden,2593
AR,05029,AR13769,Collins,88
AR,05029,AR13753,Jorgensen,78
AR,05029,AR13759,Myers,49
AR,05029,AR13755,De La Fuente,34
AR,05029,AR13758,West,31
AR,05029,AR13757,Pierce,23
AR,05029,AR13751,Blankenship,22
AR,05029,AR13756,Gammon,20
AR,05029,AR13754,Hawkins,18
AR,05029,AR13750,Carroll,8
AR,05029,AR13752,La Riva,5
AR,05031,AR12686,Trump,25482
AR,05031,AR13356,Biden,11854
AR,05031,AR13753,Jorgensen,439
AR,05031,AR13758,West,156
AR,05031,AR13754,Hawkins,120
AR,05031,AR13751,Blankenship,70
AR,05031,AR13750,Carroll,64
AR,05031,AR13756,Gammon,43
AR,05031,AR13769,Collins,40
AR,05031,AR13752,La Riva,40
AR,05031,AR13757,Pierce,28
AR,05031,AR13755,De La Fuente,17
AR,05031,AR13759,Myers,11
AR,05033,AR12686,Trump,18566
AR,05033,AR13356,Biden,4936
AR,05033,AR13753,Jorgensen,273
AR,05033,AR13758,West,49
AR,05033,AR13769,Collins,39
AR,05033,AR13754,Hawkins,35
AR,05033,AR13757,Pierce,29
AR,05033,AR13755,De La Fuente,26
AR,05033,AR13751,Blankenship,22
AR,05033,AR13756,Gammon,21
AR,05033,AR13759,Myers,12
AR,05033,AR13750,Carroll,9
AR,05033,AR13752,La Riva,8
AR,05035,AR13356,Biden,8325
AR,05035,AR12686,Trump,7244
AR,05035,AR13758,West,127
AR,05035,AR13753,Jorgensen,112
AR,05035,AR13756,Gammon,63
AR,05035,AR13769,Collins,44
AR,05035,AR13755,De La Fuente,35
AR,05035,AR13754,Hawkins,29
AR,05035,AR13751,Blankenship,25
AR,05035,AR13750,Carroll,24
AR,05035,AR13752,La Riva,21
AR,05035,AR13759,Myers,19
AR,05035,AR13757,Pierce,18
AR,05037,AR12686,Trump,4928
AR,05037,AR13356,Biden,1759
AR,05037,AR13753,Jorgensen,48
AR,05037,AR13759,Myers,43
AR,05037,AR13758,West,37
AR,05037,AR13769,Collins,30
AR,05037,AR13757,Pierce,21
AR,05037,AR13751,Blankenship,14
AR,05037,AR13750,Carroll,9
AR,05037,AR13754,Hawkins,8
AR,05037,AR13756,Gammon,5
AR,05037,AR13752,La Riva,5
AR,05037,AR13755,De La Fuente,4
AR,05039,AR12686,Trump,1573
AR,05039,AR13356,Biden,963
AR,05039,AR13758,West,19
AR,05039,AR13757,Pierce,18
AR,05039,AR13759,Myers,17
AR,05039,AR13753,Jorgensen,14
AR,05039,AR13751,Blankenship,9
AR,05039,AR13752,La Riva,9
AR,05039,AR13769,Collins,8
AR,05039,AR13756,Gammon,8
AR,05039,AR13755,De La Fuente,5
AR,05039,AR13750,Carroll,3
AR,05039,AR13754,Hawkins,3
AR,05041,AR13356,Biden,2016
AR,05041,AR12686,Trump,1920
AR,05041,AR13757,Pierce,40
AR,05041,AR13752,La Riva,37
AR,05041,AR13759,Myers,35
AR,05041,AR13755,De La Fuente,33
AR,05041,AR13758,West,24
AR,05041,AR13753,Jorgensen,18
AR,05041,AR13751,Blankenship,10
AR,05041,AR13769,Collins,10
AR,05041,AR13754,Hawkins,10
AR,05041,AR13750,Carroll,5
AR,05041,AR13756,Gammon,5
AR,05043,AR12686,Trump,4338
AR,05043,AR13356,Biden,2408
AR,05043,AR13758,West,38
AR,05043,AR13753,Jorgensen,27
AR,05043,AR13754,Hawkins,21
AR,05043,AR13769,Collins,14
