ward,precinct,votes,Biden,Trump,Hawkins,LaRiva,Carroll,Jorgensen
14,1,510,220,286,1,0,0,3
,2,550,439,105,2,1,2,1
,3,415,349,63,2,0,0,1
,4,461,223,232,1,0,1,4
,5,611,530,75,1,3,0,2
,6,227,193,30,3,0,1,0
,7,553,444,102,3,2,1,1
,8,538,403,122,2,6,2,3
,9,573,322,245,3,1,0,2
,10,310,237,69,1,1,0,2
,11,245,212,32,1,0,0,0
,12,481,345,132,3,1,0,0
,13,378,300,70,5,1,0,2
,14,416,344,65,2,1,1,3
,15,451,393,53,1,3,0,1
,16,315,248,65,2,0,0,0
,17,376,302,70,1,1,0,2
,18,204,145,56,2,1,0,0
,19,406,340,56,3,5,0,2
,20,337,266,63,2,1,1,4
,21,417,342,66,3,2,2,2
,22,624,402,214,2,3,0,3
,23,376,254,121,0,0,0,1
,24,536,274,258,1,0,1,2
,25,251,208,38,3,1,0,1
,26,332,300,27,1,0,3,1
,27,440,323,100,4,5,1,7
,28,361,269,81,1,3,3,4
,29,320,267,48,4,1,0,0
,30,283,256,25,0,1,1,0
,31,218,174,38,4,1,0,1
15,1,379,317,49,3,5,2,3
,2,249,239,9,0,0,1,0
,3,269,260,7,1,1,0,0
,4,427,364,55,3,2,0,3
,5,420,353,58,5,1,0,3
,6,442,357,75,4,4,1,1
,7,262,247,11,4,0,0,0
,8,418,351,62,1,1,1,2
,9,532,453,72,2,2,1,2
,10,594,471,110,4,4,0,5
,11,513,417,91,1,3,0,1
,12,507,410,89,4,2,0,2
,13,420,349,59,7,1,0,4
,14,383,333,46,0,2,1,1
,15,395,332,58,0,3,1,1
,16,489,421,60,3,3,0,2
,17,261,242,12,3,0,1,3
,18,232,216,15,1,0,0,0
,19,332,293,33,5,0,0,1
,20,263,252,10,0,0,0,1
,21,222,212,8,1,1,0,0
,22,271,247,19,2,0,2,1
,23,286,276,7,3,0,0,0
,24,273,252,16,3,2,0,0
16,1,477,406,59,5,2,1,4
,2,330,306,21,2,1,0,0
,3,294,277,15,1,1,0,0
,4,358,332,20,4,1,0,1
,5,232,218,9,2,1,2,0
,6,299,287,8,2,2,0,0
,7,311,293,16,1,0,1,0
,8,226,211,12,1,2,0,0
,9,301,292,7,0,1,0,1
,10,296,283,12,0,0,1,0
,11,348,320,22,5,0,0,1
,12,303,278,17,1,6,0,1
,13,384,345,28,4,3,2,2
,14,261,243,12,4,2,0,0
,15,325,306,15,0,1,3,0
,16,290,279,10,0,0,1,0
,17,368,328,37,1,1,1,0
,18,355,325,25,1,1,2,1
,19,329,301,22,1,2,1,2
,20,245,233,10,2,0,0,0
,21,284,268,12,1,1,1,1
,22,309,284,18,1,3,0,3
,23,416,359,49,4,3,0,1
,24,168,160,8,0,0,0,0
,25,366,343,17,2,1,1,2
,26,255,243,8,1,0,1,2
,27,267,251,12,2,0,1,1
,28,300,284,12,3,0,1,0
,29,284,273,11,0,0,0,0
,30,265,245,16,0,2,2,0
,31,319,294,15,3,3,1,3
,32,407,347,52,2,3,0,3
,33,272,259,7,4,0,2,0
,34,274,258,9,2,1,1,3
,35,481,424,53,1,1,0,2
,36,214,194,17,3,0,0,0
17,1,442,383,52,4,0,0,3
,2,392,376,13,1,1,1,0
,3,399,373,24,0,1,0,1
,4,487,456,25,3,2,0,1
,5,316,299,15,1,0,1,0
,6,381,356,20,2,2,0,1
,7,390,361,26,1,1,1,0
,8,369,335,28,5,0,0,1
,9,304,289,9,0,3,1,2
,10,495,455,34,5,1,0,0
,11,308,294,14,0,0,0,0
,12,541,468,64,3,2,0,4
,13,327,311,14,0,1,0,1
,14,439,408,31,0,0,0,0
,15,394,373,17,2,1,0,1
,16,434,398,33,1,1,1,0
,17,394,365,26,2,0,1,0
,18,430,417,10,1,1,0,1
,19,235,223,11,1,0,0,0
,20,439,424,13,2,0,0,0
,21,470,460,8,1,1,0,0
,22,345,326,17,0,2,0,0
,23,266,254,11,0,1,0,0
,24,408,394,10,2,0,0,2
,25,327,310,11,2,1,0,3
,26,404,392,11,1,0,0,0
,27,363,348,13,1,0,1,0
,28,324,316,8,0,0,0,0
,29,393,379,11,2,1,0,0
,30,385,331,50,2,0,0,2
,31,239,233,4,0,1,1,0
,32,320,304,9,3,4,0,0
,33,272,200,17,18,7,12,18
